sample_id,position,velocity,acceleration
pmks_positive_0138,-4.2266951365109371,-1.5044910682621468,-3.8023972305799338
pmks_positive_0139,-4.2010911128760515,-1.5680550152273247,-3.8251650116241236
pmks_positive_0140,-4.1744245597505305,-1.6319926453941898,-3.8472265227113365
pmks_positive_0141,-4.1466893507285674,-1.6962915460565964,-3.8685043653921696
pmks_positive_0142,-4.1178795771465388,-1.7609379940796466,-3.8889187007644703
pmks_positive_0143,-4.0879895702583315,-1.8259169159723529,-3.9083873416358967
pmks_positive_0144,-4.0570139240626446,-1.8912118496249366,-3.9268258602184072
pmks_positive_0145,-4.0249475187522634,-1.9568049079744503,-3.9441477119198352
pmks_positive_0146,-3.9917855447509965,-2.0226767448711698,-3.9602643757201066
pmks_positive_0147,-3.9575235272992035,-2.0888065234256379,-3.9750855115301977
pmks_positive_0148,-3.9221573515441985,-2.1551718871220134,-3.9885191348306503
pmks_positive_0149,-3.8856832880870904,-2.2217489339874095,-4.0004718087735176
pmks_positive_0150,-3.8480980189325926,-2.2885121941089812,-4.0108488538070253
pmks_positive_0151,-3.809398663783643,-2.3554346107903346,-4.0195545747469215
pmks_positive_0152,-3.7695828066177537,-2.4224875256364173,-4.0264925050727527
pmks_positive_0153,-3.7286485224772026,-2.4896406678510568,-4.0315656680723606
pmks_positive_0154,-3.6865944044006049,-2.5568621480236668,-4.034676854294867
pmks_positive_0155,-3.6434195904187501,-2.6241184566712739,-4.0357289146025845
pmks_positive_0156,-3.5991237905333282,-2.691374467788715,-4.0346250679375757
pmks_positive_0157,-3.553707313593149,-2.7585934476436424,-4.0312692227406437
pmks_positive_0158,-3.507171093978485,-2.8257370690337931,-4.0255663107814437
pmks_positive_0159,-3.4595167180009394,-2.8927654312017825,-4.0174226319808346
pmks_positive_0160,-3.4107464499230442,-2.9596370855776013,-4.0067462086323555
pmks_positive_0161,-3.360863257499247,-3.0263090674910043,-3.9934471472620423
pmks_positive_0162,-3.3098708369378009,-3.0927369339653339,-3.9774380062068775
pmks_positive_0163,-3.2577736371815345,-3.1588748076710438,-3.9586341668450915
pmks_positive_0164,-3.2045768834043749,-3.2246754270816398,-3.9369542062786729
pmks_positive_0165,-3.1502865996202249,-3.2900902028370829,-3.9123202691528141
pmks_positive_0166,-3.0949096303009149,-3.3550692802803175,-3.8846584362008509
pmks_positive_0167,-3.0384536609009221,-3.4195616080916942,-3.853899087029157
pmks_positive_0168,-2.9809272371881708,-3.4835150129042294,-3.8199772546064334
pmks_positive_0169,-2.9223397832824674,-3.5468762797401139,-3.7828329688977762
pmks_positive_0170,-2.8627016183061986,-3.6095912380662396,-3.7424115870873997
pmks_positive_0171,-2.8020239715556041,-3.6716048532241006,-3.6986641078658451
pmks_positive_0172,-2.740318996105426,-3.7328613229478753,-3.6515474673189656
pmks_positive_0173,-2.6775997807646945,-3.7933041786441097,-3.6010248140466325
pmks_positive_0174,-2.6138803603074301,-3.8528763910679018,-3.5470657612593217
pmks_positive_0175,-2.5491757239081352,-3.9115204799941203,-3.4896466137490862
pmks_positive_0176,-2.4835018217191855,-3.9691786274485747,-3.4287505678070906
pmks_positive_0177,-2.4168755695345432,-4.0257927940335465,-3.3643678823608272
pmks_positive_0178,-2.3493148514923679,-4.0813048378551811,-3.2964960198281257
pmks_positive_0179,-2.2808385207773618,-4.1356566355371651,-3.2251397554294652
pmks_positive_0180,-2.2114663982925329,-4.188790204786315,-3.1503112539616329
pmks_positive_0181,-2.1412192692790963,-4.2406478279613653,-3.0720301133112407
pmks_positive_0182,-2.070118877872277,-4.2911721760866461,-2.9903233742717701
pmks_positive_0183,-1.9981879195909098,-4.3403064327470631,-2.9052254965202358
pmks_positive_0184,-1.9254500317661005,-4.3879944173021155,-2.8167783009008014
pmks_positive_0185,-1.8519297819267901,-4.4341807068594656,-2.7250308784579089
pmks_positive_0186,-1.7776526541661255,-4.4788107564604438,-2.630039466943225
pmks_positive_0187,-1.7026450335234387,-4.5218310169429907,-2.5318672957982962
pmks_positive_0188,-1.6269341884248263,-4.5631890499668808,-2.4305844008756115
pmks_positive_0189,-1.5505482512336837,-4.6028336397090772,-2.3262674104052463
pmks_positive_0190,-1.4735161969706816,-4.6407149007641282,-2.218999303938308
pmks_positive_0191,-1.3958678202700376,-4.6767843818150441,-2.1088691461992655
pmks_positive_0192,-1.3176337106460281,-4.7109951646738208,-1.9959717979549489
pmks_positive_0193,-1.2388452261499339,-4.7433019583271543,-1.8804076061563311
pmks_positive_0194,-1.1595344655035067,-4.7736611876615651,-1.7622820757293987
pmks_positive_0195,-1.0797342387999951,-4.8020310765825176,-1.6417055254820572
pmks_positive_0196,-0.99947803686831804,-4.8283717252838283,-1.5187927306554716
pmks_positive_0197,-0.91879999939957813,-4.8526451814660607,-1.3936625546801773
pmks_positive_0198,-0.8377348819381627,-4.8748155053453806,-1.2664375727007546
pmks_positive_0199,-0.75631802184193297,-4.8948488283368921,-1.1372436894088049
pmks_positive_0200,-0.67458530331763455,-4.9127134053384278,-1.0062097536739314
pmks_positive_0201,-0.59257312163848042,-4.9283796605816761,-0.87346717238825256
pmks_positive_0202,-0.51031834665113252,-4.9418202270570042,-0.73914952584387761
pmks_positive_0203,-0.42785828567890682,-4.9530099795560858,-0.60339218684701912
pmks_positive_0204,-0.34523064592687547,-4.9619260614120391,-0.46633194563961533
pmks_positive_0205,-0.26247349649310436,-4.9685479050501256,-0.32810664255217015
pmks_positive_0206,-0.17962523008794129,-4.9728572464927883,-0.18885481015261263
pmks_positive_0207,-0.096724524560784175,-4.9748381339908532,-0.048715326488224076
pmks_positive_0208,-0.013810304330583278,-4.9744769309778771,0.092172919156483957
pmks_positive_0209,0.069078298187092102,-4.9717623135668569,0.23367134674078383
pmks_positive_0210,0.15190198106744823,-4.966685262827796,0.37564199112154073
pmks_positive_0211,0.23462131119338281,-4.9592390521008944,0.51794779199165353
pmks_positive_0212,0.31719676232147975,-4.9494192296134649,0.6604528673898189
pmks_positive_0213,0.39958875282104955,-4.9372235966791349,0.80302277023809143
pmks_positive_0214,0.4817576830150081,-4.922652181765633,0.94552472752679906
pmks_positive_0215,0.56366397205613872,-4.905707210722416,1.0878278619213968
pmks_positive_0216,0.64526809427717069,-4.8863930734619911,1.2298033957115126
pmks_positive_0217,0.72653061495808302,-4.86471628738893,1.3713248371579667
pmks_positive_0218,0.80741222545875679,-4.8406854578686289,1.5122681494179582
pmks_positive_0219,0.88787377767015663,-4.8143112360238458,1.6525119023417836
pmks_positive_0220,0.96787631774180838,-4.7856062741413714,1.7919374075357046
pmks_positive_0221,1.0473811190480298,-4.7545851789637901,1.9304288371750462
pmks_positive_0222,1.1263497143599501,-4.7212644631325791,2.0678733271293295
pmks_positive_0223,1.2047439271946239,-4.6856624950388781,2.204161065027364
pmks_positive_0224,1.282525902316749,-4.6477994473273005,2.3391853639450901
pmks_positive_0225,1.3596581353725501,-4.6076972442863866,2.4728427224432297
pmks_positive_0226,1.436103501639078,-4.5653795083469326,2.6050328717156912
pmks_positive_0227,1.5118252838758472,-4.5208715058964728,2.7356588106341566
pmks_positive_0228,1.586787199269045,-4.4742000926049981,2.8646268294898141
pmks_positive_0229,1.6609534254617024,-4.4253936584435589,2.9918465232405813
pmks_positive_0230,1.7342886256661263,-4.3744820725639126,3.1172307950721803
pmks_positive_0231,1.8067579728575733,-4.3214966281939731,3.2406958510747472
pmks_positive_0232,1.8783271730506605,-4.2664699876905177,3.3621611868241077
pmks_positive_0233,1.9489624876621789,-4.2094361278776411,3.4815495666391607
pmks_positive_0234,2.0186307549660807,-4.1504302857867224,3.5987869962646215
pmks_positive_0235,2.0872994106482086,-4.0894889049014314,3.7138026897025087
pmks_positive_0236,2.1549365074699729,-4.0266495819994503,3.8265290308867157
pmks_positive_0237,2.2215107340515665,-3.9619510146713246,3.9369015308635351
pmks_positive_0238,2.286991432786655,-3.8954329495859961,4.0448587811075694
pmks_positive_0239,2.3513486169014488,-3.8271361315624777,4.1503424035676044
pmks_positive_0240,2.4145529866720636,-3.7571022534974361,4.2532969980013267
pmks_positive_0241,2.47657594481473,-3.6853739071894625,4.3536700871214089
pmks_positive_0242,2.5373896110641354,-3.6119945350924185,4.4514120600391669
pmks_positive_0243,2.596966835955568,-3.537008383022421,4.5464761144558086
pmks_positive_0244,2.6552812138269033,-3.4604604538358461,4.6388181980155627
pmks_positive_0245,2.7123070950567563,-3.3823964620890963,4.7283969492001052
pmks_positive_0246,2.7680195975551385,-3.3028627896848777,4.8151736381096919
pmks_positive_0247,2.8223946175231465,-3.2219064425041894,4.8991121074435862
pmks_positive_0248,2.8754088394980144,-3.1395750080183573,4.9801787139607816
pmks_positive_0249,2.927039745699787,-3.0559166138709486,5.0583422706718686
pmks_positive_0250,2.9772656246956934,-2.9709798874154987,5.1335739899840709
pmks_positive_0251,3.0260655793979847,-2.8848139161915123,5.2058474279943869
pmks_positive_0252,3.073419534410732,-2.7974682093181533,5.275138430099954
pmks_positive_0253,3.1193082427406633,-2.7089926597824174,5.3414250780707357
pmks_positive_0254,3.1637132918867348,-2.6194375075963876,5.4046876387069895
pmks_positive_0255,3.2066171093227354,-2.5288533037962715,5.4649085141829961
pmks_positive_0256,3.2480029673866841,-2.4372908752544005,5.5220721941589019
pmks_positive_0257,3.2878549875903182,-2.3448012902741846,5.5761652097245422
pmks_positive_0258,3.3261581443614769,-2.2514358249370625,5.627176089222317
pmks_positive_0259,3.3628982682316604,-2.1572459301698457,5.6750953159809701
pmks_positive_0260,3.3980620484804707,-2.0622831995004498,5.7199152879779485
pmks_positive_0261,3.4316370352481904,-1.9665993374697903,5.761630279435292
pmks_positive_0262,3.4636116411271036,-1.8702461286676964,5.8002364043421997
pmks_positive_0263,3.4939751422417551,-1.7732754073608203,5.8357315818868933
pmks_positive_0264,3.5227176788277017,-1.6757390276809638,5.8681155037707029
pmks_positive_0265,3.5498302553178789,-1.577688834342724,5.8973896033686675
pmks_positive_0266,3.5753047399450946,-1.4791766338600381,5.9235570266930759
pmks_positive_0267,3.5991338638687829,-1.3802541662319945,5.9466226051093694
pmks_positive_0268,3.6213112198335402,-1.2809730770691645,5.9665928297474533
pmks_positive_0269,3.6418312603665992,-1.1813848901327137,5.9834758275459405
