sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0209,0.70871577317641621,0.3590652045168557,-0.4839557120484197
matlab_0210,0.71463250836152747,0.35091491766056926,-0.49407151862780596
matlab_0211,0.72041200260224092,0.34259642853923217,-0.50413786893677348
matlab_0212,0.72605145999093401,0.33411066886207524,-0.51414176947771673
matlab_0213,0.73154810198093645,0.32545879188923382,-0.52406963103565696
matlab_0214,0.73689917116078574,0.31664218217701862,-0.53390729150096872
matlab_0215,0.74210193518750089,0.30766246490121124,-0.54364004371684138
matlab_0216,0.74715369087113936,0.29852151467308297,-0.55325266853189647
matlab_0217,0.75205176840145027,0.28922146376016605,-0.56272947319639244
matlab_0218,0.75679353570595675,0.27976470962189676,-0.57205433519214566
matlab_0219,0.76137640292729292,0.27015392166919061,-0.58121075153183566
matlab_0220,0.76579782700609811,0.26039204715691133,-0.59018189350304606
matlab_0221,0.77005531635426983,0.25048231611914484,-0.59895066676673581
matlab_0222,0.77414643560187746,0.24042824525927803,-0.60749977664945265
matlab_0223,0.77806881039961406,0.23023364071017077,-0.61581179839436717
matlab_0224,0.78182013225727043,0.21990259958426628,-0.62386925205911736
matlab_0225,0.78539816339744184,0.20943951023933868,-0.63165468166970473
matlab_0226,0.78880074160249114,0.19884905119275109,-0.6391507381606335
matlab_0227,0.79202578503173604,0.18813618862557527,-0.64634026555359736
matlab_0228,0.79507129698494383,0.17730617242768668,-0.65320638975192236
matlab_0229,0.79793537058747721,0.16636453074592339,-0.65973260925733279
matlab_0230,0.80061619337191958,0.15531706300950157,-0.66590288705113054
matlab_0231,0.80311205173066402,0.14416983141999468,-0.67170174282529149
matlab_0232,0.80542133521387438,0.13292915090716678,-0.67711434470194332
matlab_0233,0.80754254064736197,0.1216015775666255,-0.68212659954372601
matlab_0234,0.8094742760453062,0.11019389561042843,-0.68672524093404974
matlab_0235,0.81121526429340918,0.098713102877234629,-0.69089791389645072
matlab_0236,0.81276434657896734,0.087166394964080199,-0.69463325542696785
matlab_0237,0.81412048554551619,0.075561148057154207,-0.6979209699334028
matlab_0238,0.81528276815110567,0.063904900553772931,-0.70075189871069921
matlab_0239,0.81625040821093364,0.052205333581867901,-0.70311808263243547
matlab_0240,0.81702274860693769,0.040470250536432044,-0.70501281730407706
matlab_0241,0.8175992631490383,0.028707555764342342,-0.70643070000334818
matlab_0242,0.81797955807501244,0.016925232539316503,-0.70736766782562033
matlab_0243,0.81816337317840859,0.0051313204779068703,-0.70782102655601986
matlab_0244,0.81815058255649564,-0.0066661074458903248,-0.70778946990314906
matlab_0245,0.81794119497290318,-0.018458968124451431,-0.7072730888497325
matlab_0246,0.81753535383236553,-0.030239191612914964,-0.70627337100081555
matlab_0247,0.81693333676774293,-0.041998744331323029,-0.70479318993784668
matlab_0248,0.81613555484228084,-0.053729652006902051,-0.7028367847145065
matlab_0249,0.81514255137279146,-0.065424022194180767,-0.70040972975496996
matlab_0250,0.81395500038211344,-0.077074066215994483,-0.69751889553488899
matlab_0251,0.81257370469175938,-0.088672120375706237,-0.69417240053747309
matlab_0252,0.81099959366808272,-0.10021066630005286,-0.69037955507948523
matlab_0253,0.80923372063755195,-0.11168235028271263,-0.6861507976929182
matlab_0254,0.80727725998878719,-0.12308000151078582,-0.68149762482606513
matlab_0255,0.80513150398086508,-0.13439664906966398,-0.6764325146914496
matlab_0256,0.80279785927902925,-0.1456255376359798,-0.67096884613685726
matlab_0257,0.80027784324031503,-0.15676014178323291,-0.66512081344907625
matlab_0258,0.79757307997273941,-0.1677941788400204,-0.65890333801788059
matlab_0259,0.79468529619256723,-0.17872162025630067,-0.65233197779059449
matlab_0260,0.79161631690478496,-0.18953670144854842,-0.64542283543591117
matlab_0261,0.78836806093227563,-0.20023393010977822,-0.63819246611046776
matlab_0262,0.78494253631928612,-0.21080809298501016,-0.63065778568418529
matlab_0263,0.78134183563467396,-0.22125426112662738,-0.62283598023201903
