matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0083,matlab_sweep_00,83,3.019419605950179,1,1.4324547790421958,eligible,pmks_positive_0083,matched,
matlab_0084,matlab_sweep_00,84,3.0368728984701221,1,1.4377793115469719,eligible,pmks_positive_0084,matched,
matlab_0085,matlab_sweep_00,85,3.0543261909900652,1,1.4432419795028431,eligible,pmks_positive_0085,matched,
matlab_0086,matlab_sweep_00,86,3.0717794835100083,1,1.4488413647619549,eligible,pmks_positive_0086,matched,
matlab_0087,matlab_sweep_00,87,3.0892327760299514,1,1.454575961896835,eligible,pmks_positive_0087,matched,
matlab_0088,matlab_sweep_00,88,3.1066860685498945,1,1.460444181654948,eligible,pmks_positive_0088,matched,
matlab_0089,matlab_sweep_00,89,3.1241393610698376,1,1.4664443540509629,eligible,pmks_positive_0089,matched,
matlab_0090,matlab_sweep_00,90,3.1415926535897807,1,1.4725747310877695,eligible,pmks_positive_0090,matched,
matlab_0091,matlab_sweep_00,91,3.1590459461097233,1,1.4788334891012334,eligible,pmks_positive_0091,matched,
matlab_0092,matlab_sweep_00,92,3.1764992386296664,1,1.4852187307272104,eligible,pmks_positive_0092,matched,
matlab_0093,matlab_sweep_00,93,3.1939525311496095,1,1.4917284864925759,eligible,pmks_positive_0093,matched,
matlab_0094,matlab_sweep_00,94,3.2114058236695526,1,1.4983607160348575,eligible,pmks_positive_0094,matched,
matlab_0095,matlab_sweep_00,95,3.2288591161894957,1,1.505113308957571,eligible,pmks_positive_0095,matched,
matlab_0096,matlab_sweep_00,96,3.2463124087094388,1,1.5119840853305577,eligible,pmks_positive_0096,matched,
matlab_0097,matlab_sweep_00,97,3.2637657012293819,1,1.5189707958465029,eligible,pmks_positive_0097,matched,
matlab_0098,matlab_sweep_00,98,3.2812189937493255,1,1.5260711216464284,eligible,pmks_positive_0098,matched,
matlab_0099,matlab_sweep_00,99,3.2986722862692681,1,1.5332826738283334,eligible,pmks_positive_0099,matched,
matlab_0100,matlab_sweep_00,100,3.3161255787892117,1,1.540602992654295,eligible,pmks_positive_0100,matched,
matlab_0101,matlab_sweep_00,101,3.3335788713091543,1,1.5480295464723202,eligible,pmks_positive_0101,matched,
matlab_0102,matlab_sweep_00,102,3.3510321638290979,1,1.5555597303700324,eligible,pmks_positive_0102,matched,
matlab_0103,matlab_sweep_00,103,3.368485456349041,1,1.5631908645779538,eligible,pmks_positive_0103,matched,
matlab_0104,matlab_sweep_00,104,3.385938748868984,1,1.5709201926406891,eligible,pmks_positive_0104,matched,
matlab_0105,matlab_sweep_00,105,3.4033920413889267,1,1.5787448793748198,eligible,pmks_positive_0105,matched,
matlab_0106,matlab_sweep_00,106,3.4208453339088698,1,1.5866620086327057,eligible,pmks_positive_0106,matched,
matlab_0107,matlab_sweep_00,107,3.4382986264288133,1,1.5946685808917642,eligible,pmks_positive_0107,matched,
matlab_0108,matlab_sweep_00,108,3.455751918948756,1,1.6027615106891575,eligible,pmks_positive_0108,matched,
matlab_0109,matlab_sweep_00,109,3.4732052114686991,1,1.6109376239221265,eligible,pmks_positive_0109,matched,
matlab_0110,matlab_sweep_00,110,3.4906585039886426,1,1.6191936550345607,eligible,pmks_positive_0110,matched,
matlab_0111,matlab_sweep_00,111,3.5081117965085857,1,1.6275262441107246,eligible,pmks_positive_0111,matched,
matlab_0112,matlab_sweep_00,112,3.5255650890285288,1,1.6359319338974483,eligible,pmks_positive_0112,matched,
matlab_0113,matlab_sweep_00,113,3.5430183815484719,1,1.6444071667764533,eligible,pmks_positive_0113,matched,
matlab_0114,matlab_sweep_00,114,3.5604716740684146,1,1.6529482817089507,eligible,pmks_positive_0114,matched,
matlab_0115,matlab_sweep_00,115,3.5779249665883581,1,1.6615515111750725,eligible,pmks_positive_0115,matched,
matlab_0116,matlab_sweep_00,116,3.5953782591083012,1,1.6702129781312114,eligible,pmks_positive_0116,matched,
matlab_0117,matlab_sweep_00,117,3.6128315516282443,1,1.6789286930088836,eligible,pmks_positive_0117,matched,
matlab_0118,matlab_sweep_00,118,3.6302848441481874,1,1.6876945507792704,eligible,pmks_positive_0118,matched,
matlab_0119,matlab_sweep_00,119,3.6477381366681305,1,1.6965063281082062,eligible,pmks_positive_0119,matched,
matlab_0120,matlab_sweep_00,120,3.6651914291880736,1,1.7053596806269726,eligible,pmks_positive_0120,matched,
matlab_0121,matlab_sweep_00,121,3.6826447217080167,1,1.7142501403449095,eligible,pmks_positive_0121,matched,
matlab_0122,matlab_sweep_00,122,3.7000980142279598,1,1.7231731132304611,eligible,pmks_positive_0122,matched,
